target,fraction,n_rows,auc_mean,auc_std,n_repeats
compliance,0.15,2893,0.7827766188010369,0.017554099387069436,3
compliance,0.3,5786,0.8029208316262979,0.010140286336873921,3
compliance,0.5,9644,0.8056068222340551,0.0037144745408865167,3
compliance,0.7,13502,0.7971234170997655,0.005471328225526402,3
compliance,0.85,16395,0.7928281596001016,0.001487076112548951,3
compliance,1.0,19289,0.7970489183401093,0.0,1
refusal_english,0.15,940,0.9383653873248369,0.006012108350062288,3
refusal_english,0.3,1881,0.9410692391722887,0.007656223670526727,3
refusal_english,0.5,3135,0.9492816555085204,0.00042613640338153746,3
refusal_english,0.7,4389,0.9362111873143993,0.004463803019205977,3
refusal_english,0.85,5330,0.9391030021854663,0.0010989363725004602,3
refusal_english,1.0,6271,0.9405109310478281,0.0,1
